classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.22747,0.26455,0.29909,0.25646,0.24697,0.29646,0.28556,0.25576,0.26071,0.26939,0.24394,0.28404,0.27051,0.30313,0.29141,0.29778,0.34081,0.32798,0.34566,0.27677,0.30111,0.38758,0.26616,0.33424,0.30657,0.29343,0.32141,0.29192,0.27525,0.28343,0.22172,0.35374,0.25253,0.27091,0.24242,0.24263,0.2397,0.28687,0.2203,0.27939,0.27525,0.25263,0.25848,0.23,0.29182,0.45071,0.36424,0.37697,0.34929,0.46192,0.34202,0.53111,0.36667,0.38414,0.3098,0.35687,0.35586,0.33495,0.34545,0.42061,0.9,0.9,0.86091,0.8999,0.9,0.9,0.89626,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85222,0.9,0.9,0.9,0.89273,0.89636,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89929,0.78152,0.72596,0.83677,0.70515,0.71778,0.89747,0.89636,0.82818,0.81162,0.85606,0.89636,0.64667,0.89939,0.89828,0.66485
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8601,0.89848,0.89333,0.89313,0.89202,0.8999,0.88242,0.8202,0.85364,0.88434,0.8099,0.8598,0.86465,0.89859,0.84899,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.30424,0.30515,0.32071,0.30616,0.29616,0.30434,0.31424,0.30646,0.25556,0.30172,0.3204,0.28,0.28465,0.31828,0.28778,0.33707,0.34798,0.35768,0.36152,0.3597,0.36384,0.34919,0.35778,0.36121,0.34889,0.38384,0.37515,0.34061,0.35505,0.33838,0.25081,0.29384,0.25838,0.29455,0.2703,0.27182,0.25455,0.27697,0.25828,0.27263,0.28081,0.26273,0.26788,0.26505,0.28222,0.2303,0.21222,0.22131,0.21222,0.27828,0.2298,0.29909,0.21545,0.22778,0.22394,0.19343,0.25596,0.25707,0.2396,0.21313,0.58141,0.55758,0.58606,0.56253,0.52899,0.56566,0.56848,0.52333,0.55929,0.53111,0.52263,0.52636,0.55677,0.59141,0.58737,0.52727,0.59192,0.54545,0.62172,0.56556,0.58141,0.5803,0.58566,0.55374,0.56515,0.59606,0.56899,0.55404,0.55677,0.56667,0.2804,0.30929,0.37232,0.30212,0.30576,0.29798,0.28616,0.32061,0.28525,0.28414,0.32677,0.2702,0.27374,0.35788,0.31788
bpxnc,0.73828,0.85475,0.89899,0.72172,0.78162,0.9,0.9,0.9,0.9,0.84727,0.90141,0.73061,0.9,0.9,0.9,0.89475,0.69485,0.90242,0.8998,0.90081,0.89051,0.89626,0.89636,0.82404,0.78172,0.9001,0.9,0.90566,0.9,0.85374,0.9,0.9,0.9,0.8798,0.88747,0.84242,0.9,0.9,0.9,0.87111,0.89838,0.61333,0.88444,0.9,0.9,0.8997,0.73242,0.84475,0.9,0.89424,0.83879,0.89444,0.84929,0.67808,0.9,0.9,0.9,0.90535,0.9,0.87101,0.9,0.9,0.86747,0.9,0.9,0.9,0.9,0.9,0.9,0.78152,0.9,0.9,0.9,0.8999,0.82222,0.9,0.81788,0.90061,0.89667,0.9002,0.9003,0.9001,0.89939,0.89859,0.90101,0.89808,0.87495,0.89929,0.90121,0.8997,0.9,0.82434,0.79535,0.88333,0.82273,0.9,0.90192,0.89798,0.82889,0.85051,0.86051,0.78141,0.9,0.9,0.89838
loglc,0.25091,0.26949,0.25677,0.26242,0.28556,0.27475,0.26939,0.25879,0.28364,0.2497,0.27747,0.27909,0.25939,0.30182,0.25051,0.46808,0.55818,0.53626,0.48404,0.43283,0.50182,0.47707,0.4403,0.46434,0.45586,0.48293,0.49404,0.43434,0.49263,0.46535,0.16152,0.19949,0.17212,0.1703,0.19212,0.17879,0.15364,0.17859,0.15293,0.16939,0.18576,0.19394,0.19465,0.16121,0.17707,0.49303,0.49394,0.41444,0.43111,0.36909,0.46879,0.52455,0.43889,0.45485,0.50485,0.42313,0.54808,0.44455,0.49131,0.48596,0.56404,0.56717,0.59354,0.56071,0.54051,0.55717,0.59869,0.5699,0.58586,0.54475,0.57,0.57808,0.55202,0.59343,0.58535,0.81172,0.83273,0.8497,0.86808,0.81222,0.85465,0.81505,0.8497,0.91152,0.8798,0.84404,0.86596,0.84939,0.85455,0.81919,0.32303,0.32737,0.37556,0.30747,0.30818,0.25242,0.29444,0.32818,0.33545,0.29949,0.32545,0.29444,0.27343,0.34343,0.27838
knnc,0.30566,0.30808,0.35525,0.35798,0.34626,0.30525,0.3201,0.30768,0.25778,0.30586,0.32081,0.28576,0.28758,0.3204,0.29091,0.34788,0.3999,0.36111,0.37172,0.37071,0.44444,0.35717,0.36515,0.3703,0.35909,0.43717,0.38354,0.39081,0.36798,0.34283,0.25455,0.29616,0.2601,0.29747,0.27283,0.27525,0.25687,0.28192,0.26384,0.27636,0.33808,0.26475,0.27192,0.26869,0.28465,0.23606,0.21475,0.22646,0.21343,0.28,0.23192,0.35717,0.21859,0.2298,0.26222,0.19424,0.26152,0.2598,0.24222,0.25313,0.56697,0.57818,0.55404,0.55212,0.56202,0.55707,0.54798,0.58303,0.55879,0.58465,0.55182,0.55788,0.58111,0.55788,0.62576,0.47808,0.49838,0.49141,0.49162,0.49525,0.48818,0.46414,0.49384,0.48899,0.47556,0.4903,0.49535,0.5798,0.4698,0.49515,0.23788,0.27636,0.27909,0.23697,0.21495,0.21495,0.2103,0.24949,0.23192,0.21707,0.3101,0.27071,0.24444,0.24232,0.27859
fisher,0.24848,0.26859,0.25727,0.25949,0.2798,0.27374,0.26848,0.25879,0.28101,0.2499,0.27687,0.27586,0.25838,0.29707,0.24909,0.42879,0.47263,0.46596,0.41788,0.39859,0.45354,0.42646,0.34071,0.40303,0.42535,0.41929,0.44838,0.39182,0.44081,0.40293,0.15616,0.1997,0.17273,0.1697,0.19232,0.17859,0.15343,0.18152,0.15253,0.16919,0.18414,0.19444,0.19556,0.16202,0.17535,0.41414,0.41152,0.38232,0.41677,0.35212,0.41071,0.48889,0.37768,0.41434,0.42929,0.36606,0.44525,0.39859,0.41111,0.45455,0.56424,0.56677,0.5696,0.56121,0.54333,0.55808,0.60172,0.57,0.58576,0.54869,0.5703,0.57798,0.55384,0.59525,0.58566,0.81192,0.82182,0.83222,0.86778,0.81576,0.84949,0.82869,0.8498,0.90899,0.88141,0.84495,0.87141,0.85162,0.85596,0.82,0.32394,0.32939,0.37677,0.30838,0.30889,0.25384,0.29737,0.3299,0.33727,0.30081,0.33111,0.29646,0.27515,0.35051,0.28101
