classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.30556,0.30404,0.26162,0.27455,0.29869,0.29667,0.26465,0.25051,0.25657,0.28131,0.32495,0.27242,0.29788,0.31121,0.29596,0.30131,0.35495,0.32879,0.29101,0.31111,0.31727,0.37889,0.30545,0.31071,0.34707,0.29848,0.35657,0.29394,0.31535,0.3702,0.28838,0.27707,0.30303,0.33091,0.36596,0.25535,0.30232,0.25879,0.26778,0.30404,0.27455,0.28596,0.28121,0.33364,0.35131,0.48263,0.54283,0.3897,0.49354,0.43242,0.44515,0.40646,0.41707,0.48949,0.48212,0.37818,0.44899,0.3601,0.49182,0.40303,0.89909,0.88152,0.80414,0.83869,0.83859,0.7304,0.84152,0.84798,0.87788,0.83768,0.89313,0.83495,0.74798,0.80606,0.8899,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85747,0.8998,0.88232,0.89949,0.86566,0.8804,0.89889,0.89848,0.89939,0.89949,0.89556,0.89848,0.87939,0.8998,0.83051
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.84444,0.86717,0.84434,0.83,0.8197,0.84303,0.84192,0.84455,0.85616,0.8502,0.85242,0.82424,0.84798,0.83596,0.85232,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.31364,0.27838,0.26657,0.27061,0.27465,0.2703,0.24081,0.29242,0.28364,0.28606,0.28545,0.28707,0.30556,0.28778,0.26323,0.37364,0.35646,0.38667,0.34384,0.34485,0.32909,0.39919,0.39323,0.36374,0.35657,0.35313,0.37889,0.36414,0.3504,0.38687,0.28293,0.22939,0.30343,0.27859,0.25051,0.25889,0.27141,0.27384,0.27697,0.28414,0.27535,0.2699,0.28071,0.23949,0.29343,0.30343,0.31879,0.26505,0.25242,0.24152,0.25222,0.25162,0.25313,0.24798,0.27212,0.25707,0.25566,0.23788,0.26101,0.25879,0.46,0.45111,0.43444,0.42071,0.45545,0.4004,0.42727,0.43404,0.46747,0.41838,0.45263,0.41061,0.42899,0.46131,0.44929,0.77121,0.79283,0.78162,0.72879,0.75899,0.81657,0.77586,0.78,0.72333,0.76818,0.7998,0.77071,0.80263,0.79929,0.77323,0.38677,0.49303,0.49061,0.36131,0.41374,0.51495,0.38949,0.35111,0.3301,0.39232,0.37788,0.35576,0.50313,0.3102,0.36556
bpxnc,0.9,0.74879,0.78141,0.86747,0.67737,0.9,0.8797,0.9,0.9,0.9,0.9,0.9,0.87919,0.90788,0.9,0.9,0.9,0.9001,0.89727,0.9,0.9,0.8996,0.9196,0.89545,0.82202,0.90162,0.89798,0.86293,0.86111,0.74778,0.9,0.9,0.89909,0.9,0.89495,0.9,0.68667,0.9,0.9,0.88939,0.9,0.9,0.9,0.9,0.9,0.82232,0.9,0.9,0.64475,0.8996,0.9,0.90081,0.9,0.9,0.9,0.9,0.90444,0.68707,0.9,0.90283,0.9,0.9,0.9,0.79333,0.9,0.9,0.9,0.9,0.9,0.8302,0.90111,0.9,0.9,0.9,0.9,0.90051,0.91596,0.89657,0.86899,0.90909,0.89949,0.9002,0.90061,0.89697,0.89838,0.91303,0.89303,0.89808,0.91,0.90434,0.9,0.9,0.9,0.9,0.89747,0.8997,0.9,0.89636,0.9,0.9,0.9,0.8999,0.9,0.9,0.9
loglc,0.33374,0.27111,0.24283,0.2904,0.26061,0.25707,0.25697,0.27222,0.26566,0.27626,0.31556,0.26091,0.29202,0.26253,0.25152,0.47384,0.53879,0.49768,0.44646,0.4899,0.45657,0.54606,0.56788,0.54505,0.60556,0.50182,0.51677,0.48818,0.41889,0.47869,0.21667,0.17182,0.21162,0.19737,0.19232,0.19717,0.18384,0.19768,0.19768,0.21071,0.19182,0.19444,0.1997,0.16646,0.21404,0.47061,0.48475,0.49758,0.47061,0.44455,0.47192,0.49889,0.45515,0.51838,0.43354,0.4799,0.48737,0.4601,0.52364,0.42465,0.43758,0.45838,0.41071,0.39323,0.42596,0.3901,0.45131,0.42889,0.46707,0.42232,0.41939,0.42838,0.47778,0.44879,0.44444,0.87162,0.85081,0.85434,0.86848,0.86869,0.85828,0.85788,0.85141,0.86313,0.84586,0.85657,0.84364,0.81646,0.83626,0.83333,0.63677,0.71333,0.69707,0.64535,0.64929,0.66263,0.62121,0.57576,0.60869,0.56778,0.64081,0.64535,0.68758,0.53646,0.61657
knnc,0.31697,0.28121,0.27,0.27343,0.27707,0.33455,0.29071,0.29758,0.35828,0.2896,0.28909,0.34232,0.30778,0.29192,0.26778,0.37596,0.3599,0.39657,0.35101,0.3502,0.33869,0.40475,0.42071,0.37626,0.44475,0.36273,0.3898,0.37495,0.3599,0.46414,0.33222,0.23313,0.33869,0.28242,0.35677,0.26162,0.27717,0.27768,0.28333,0.28667,0.28121,0.27333,0.3299,0.24414,0.32444,0.30929,0.32242,0.31192,0.31677,0.24263,0.25606,0.25465,0.25586,0.2496,0.27354,0.2602,0.31556,0.27899,0.31071,0.33111,0.5196,0.46192,0.43586,0.43455,0.45434,0.40848,0.46545,0.44899,0.47404,0.42889,0.45919,0.41657,0.43717,0.49051,0.46313,0.65889,0.64061,0.63556,0.61505,0.59061,0.66121,0.65081,0.63798,0.60525,0.69586,0.63949,0.65929,0.71848,0.71727,0.70071,0.26556,0.30596,0.28657,0.23677,0.24879,0.2801,0.27061,0.26051,0.27111,0.28384,0.28131,0.25949,0.30364,0.2701,0.31253
fisher,0.33374,0.26879,0.24404,0.28768,0.26051,0.25657,0.25596,0.26828,0.26465,0.27657,0.31586,0.25232,0.29091,0.26374,0.24939,0.47566,0.54192,0.49758,0.45434,0.49414,0.45364,0.54434,0.56424,0.54192,0.60717,0.50253,0.51525,0.48859,0.42051,0.47616,0.21606,0.17061,0.21212,0.19828,0.19293,0.19758,0.18364,0.19758,0.19717,0.20778,0.19202,0.19545,0.19949,0.16737,0.21323,0.47091,0.48606,0.49677,0.46444,0.44152,0.4699,0.48939,0.45545,0.51545,0.43232,0.48061,0.48657,0.45949,0.51818,0.42,0.43566,0.44808,0.41535,0.38202,0.41828,0.38646,0.44485,0.43404,0.46424,0.40838,0.41323,0.41768,0.47354,0.44404,0.4397,0.87737,0.85616,0.85657,0.84697,0.88182,0.86242,0.8901,0.85727,0.89626,0.88414,0.84414,0.87879,0.84333,0.8303,0.85657,0.63626,0.71303,0.69869,0.64475,0.65,0.66263,0.62152,0.57525,0.60859,0.56727,0.6404,0.64515,0.6896,0.53586,0.61687
