classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.28707,0.25646,0.23747,0.24909,0.24778,0.25768,0.26152,0.24707,0.22525,0.27081,0.24879,0.24727,0.26475,0.26424,0.28848,0.29273,0.30192,0.29293,0.27899,0.3003,0.27818,0.28081,0.2802,0.30172,0.32323,0.29172,0.3097,0.26586,0.3103,0.31859,0.21404,0.29434,0.25242,0.26535,0.22768,0.21172,0.23707,0.22525,0.19879,0.2704,0.2404,0.21121,0.22576,0.26667,0.24162,0.38707,0.39061,0.38545,0.4302,0.36424,0.52747,0.34222,0.37071,0.33131,0.34576,0.3804,0.36202,0.33465,0.40838,0.30121,0.9,0.9,0.9,0.9,0.9,0.89616,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89172,0.9,0.9,0.9,0.9,0.88919,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.87909,0.87222,0.9,0.9,0.42182,0.47909,0.47697,0.42677,0.54576,0.51909,0.43949,0.52384,0.51061,0.50394,0.50626,0.49263,0.5099,0.5603,0.51202
rbsvc,0.25404,0.25616,0.24576,0.27081,0.26495,0.22889,0.24939,0.24051,0.20798,0.27394,0.28747,0.24323,0.2501,0.28707,0.25424,0.25475,0.25626,0.32091,0.27909,0.29495,0.30737,0.27323,0.30354,0.33495,0.29919,0.33606,0.30828,0.24616,0.28949,0.29667,0.20889,0.26424,0.22273,0.23939,0.23687,0.21556,0.23768,0.25545,0.22424,0.21909,0.22818,0.23434,0.21859,0.22121,0.23323,0.2099,0.17576,0.23626,0.15232,0.18909,0.23899,0.22768,0.20566,0.18354,0.19121,0.20414,0.19364,0.19838,0.20727,0.15444,0.79333,0.78101,0.79303,0.76131,0.75778,0.75889,0.80667,0.81071,0.82333,0.77707,0.78646,0.76313,0.76465,0.78586,0.77434,0.32121,0.28949,0.3004,0.33192,0.3403,0.33384,0.34636,0.37384,0.31444,0.3203,0.38737,0.34475,0.31495,0.33222,0.32657,0.25838,0.36313,0.30485,0.26162,0.37788,0.24404,0.25081,0.34343,0.27657,0.49475,0.25808,0.32162,0.26242,0.33818,0.27162
pksvc,0.25404,0.25566,0.24677,0.27111,0.26515,0.22838,0.24909,0.24071,0.20818,0.27343,0.28727,0.24333,0.2499,0.28727,0.25455,0.25354,0.25576,0.3203,0.27909,0.29212,0.30677,0.27273,0.30333,0.33485,0.29859,0.33586,0.30788,0.24616,0.28909,0.29556,0.20818,0.26374,0.22303,0.23939,0.23697,0.21606,0.23667,0.25545,0.22434,0.21889,0.22808,0.23465,0.21859,0.22101,0.23333,0.2099,0.17576,0.23616,0.15222,0.18889,0.23889,0.22727,0.20646,0.18404,0.19111,0.20343,0.19354,0.19848,0.20737,0.15414,0.76192,0.73394,0.76162,0.75162,0.74364,0.75838,0.80667,0.76657,0.77535,0.76667,0.77586,0.75364,0.76778,0.79374,0.76394,0.32172,0.2898,0.2996,0.33212,0.32899,0.33909,0.33818,0.36616,0.3204,0.3204,0.38758,0.35687,0.3102,0.32818,0.32788,0.23444,0.35404,0.31253,0.26111,0.31152,0.26394,0.25131,0.35737,0.27556,0.33202,0.2598,0.3103,0.24505,0.30374,0.27081
svcfish,0.31,0.27535,0.23535,0.25051,0.26283,0.26313,0.32172,0.27869,0.24,0.27727,0.29061,0.29263,0.27141,0.33394,0.30515,0.28566,0.30141,0.34768,0.27535,0.30667,0.29202,0.29434,0.28798,0.28808,0.32303,0.31747,0.33465,0.27081,0.34071,0.34818,0.29859,0.32414,0.26818,0.28626,0.24061,0.25111,0.25747,0.28131,0.23283,0.28283,0.25596,0.22364,0.21869,0.31061,0.3099,0.25919,0.22303,0.31505,0.29747,0.23525,0.31374,0.24758,0.26162,0.23354,0.2601,0.28444,0.25121,0.24202,0.27747,0.22869,0.9,0.9,0.9,0.85535,0.9,0.88697,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.87919,0.88081,0.29535,0.26788,0.2503,0.29313,0.30424,0.27737,0.33071,0.29859,0.31606,0.28455,0.32879,0.34394,0.29313,0.31212,0.26293,0.42172,0.4799,0.47677,0.42667,0.56677,0.51919,0.48475,0.52384,0.51071,0.50374,0.50576,0.49253,0.49949,0.5596,0.57606
