classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.32808,0.40808,0.38808,0.39949,0.33121,0.42071,0.35323,0.42717,0.35586,0.32929,0.36111,0.35586,0.33545,0.45071,0.36364,0.38677,0.43394,0.36859,0.38121,0.44515,0.39253,0.37455,0.38333,0.40626,0.39687,0.40828,0.35232,0.36455,0.41566,0.37616,0.37283,0.45303,0.41444,0.40576,0.42747,0.40636,0.39172,0.47091,0.46556,0.50434,0.47313,0.43717,0.43242,0.44717,0.38808,0.46071,0.52182,0.46495,0.52626,0.50778,0.53384,0.46909,0.5004,0.48404,0.50354,0.54515,0.44667,0.52071,0.42212,0.46434,0.38061,0.35071,0.3597,0.36444,0.33182,0.35838,0.35303,0.39495,0.35808,0.34808,0.36919,0.40061,0.37515,0.35576,0.39121,0.9,0.89495,0.9,0.9,0.8998,0.89535,0.9,0.9,0.9,0.9,0.9,0.9,0.89939,0.89475,0.9001,0.89828,0.86202,0.89909,0.87091,0.89949,0.9,0.89677,0.9,0.8996,0.83899,0.8996,0.83343,0.88495,0.8997,0.89929
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.86152,0.84333,0.83929,0.83455,0.8497,0.86,0.89818,0.8698,0.87525,0.89879,0.8699,0.84202,0.85677,0.89313,0.83364,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.31495,0.33818,0.34848,0.30293,0.28707,0.35071,0.35677,0.34596,0.34202,0.31374,0.35182,0.34071,0.3098,0.32354,0.33848,0.38848,0.43687,0.39121,0.35818,0.44354,0.38919,0.39162,0.42182,0.42131,0.43293,0.41283,0.39606,0.37222,0.40354,0.4096,0.3201,0.33444,0.29343,0.32263,0.31475,0.34131,0.32515,0.2899,0.35727,0.32263,0.30394,0.30495,0.29848,0.33192,0.3103,0.30909,0.31596,0.31838,0.33939,0.2996,0.36576,0.33646,0.30949,0.32636,0.35646,0.34222,0.31798,0.3298,0.30232,0.32737,0.33576,0.34677,0.32222,0.33,0.34535,0.32434,0.36717,0.35333,0.32798,0.32535,0.34273,0.3397,0.31646,0.33626,0.33444,0.70141,0.73051,0.70859,0.71939,0.68182,0.70808,0.71444,0.75263,0.7404,0.70949,0.68111,0.72616,0.71475,0.7502,0.67495,0.38646,0.40394,0.36081,0.3802,0.48657,0.35788,0.31455,0.34364,0.38556,0.44202,0.3202,0.41111,0.41141,0.38192,0.32566
bpxnc,0.9,0.9,0.9,0.91081,0.86475,0.90798,0.8297,0.9,0.87758,0.9,0.75182,0.89707,0.90222,0.88182,0.8198,0.70424,0.89434,0.75152,0.81566,0.85838,0.9,0.9,0.87374,0.87141,0.88273,0.8802,0.8896,0.89717,0.9,0.91152,0.82788,0.9,0.84667,0.9,0.9,0.87869,0.9,0.9001,0.9,0.9,0.9,0.9,0.8998,0.9,0.9,0.9,0.9,0.89919,0.9,0.90323,0.9,0.89919,0.9,0.89616,0.83242,0.64495,0.87222,0.9,0.91354,0.9,0.75576,0.85394,0.9,0.86303,0.75606,0.9,0.9,0.87192,0.9,0.89899,0.72869,0.9,0.9,0.83333,0.79818,0.89899,0.89798,0.8903,0.84283,0.9,0.90343,0.89687,0.90273,0.89121,0.89697,0.89909,0.89687,0.81162,0.8996,0.89667,0.9,0.9,0.9,0.89798,0.9,0.8998,0.8999,0.9,0.9,0.89727,0.9,0.9,0.9,0.89566,0.89929
loglc,0.78283,0.89768,0.89283,0.82242,0.8199,0.84778,0.85606,0.81929,0.84101,0.80424,0.84687,0.89455,0.83404,0.83677,0.8799,0.84939,0.86434,0.78929,0.80556,0.79798,0.84364,0.79354,0.83818,0.89364,0.86525,0.8097,0.82071,0.89414,0.86091,0.81384,0.26747,0.28273,0.27515,0.27889,0.26919,0.26909,0.25778,0.25354,0.30899,0.29556,0.27697,0.29263,0.24101,0.27606,0.28586,0.87364,0.81626,0.87101,0.88444,0.86374,0.82697,0.91727,0.86616,0.84566,0.82455,0.77364,0.81545,0.88545,0.88071,0.89859,0.84929,0.82646,0.76758,0.79323,0.84475,0.87212,0.83354,0.81869,0.84465,0.83242,0.78768,0.75374,0.86444,0.80636,0.82808,0.8603,0.86101,0.88717,0.87485,0.86808,0.89646,0.86293,0.90313,0.9002,0.85677,0.88323,0.89434,0.86172,0.85556,0.87525,0.62596,0.58586,0.62657,0.66556,0.69545,0.63667,0.62263,0.64091,0.65525,0.7299,0.57374,0.65111,0.65354,0.66162,0.58131
knnc,0.31636,0.34283,0.35212,0.30697,0.29162,0.40626,0.3601,0.35051,0.34677,0.31505,0.38859,0.39838,0.31293,0.32616,0.40121,0.39525,0.48141,0.40677,0.36606,0.48657,0.39495,0.42566,0.42606,0.42788,0.46192,0.42838,0.40263,0.37606,0.41162,0.41455,0.32424,0.36727,0.3297,0.3301,0.31798,0.34646,0.33051,0.29394,0.36182,0.32616,0.30737,0.3102,0.30313,0.33586,0.31434,0.31242,0.31828,0.3204,0.34293,0.30717,0.36758,0.3401,0.34394,0.33051,0.35828,0.34556,0.32182,0.35343,0.30515,0.38828,0.3701,0.35131,0.32354,0.33212,0.35101,0.32707,0.42939,0.35626,0.36768,0.32838,0.34354,0.34152,0.32,0.33848,0.33919,0.63616,0.63576,0.64071,0.64525,0.65313,0.65869,0.66263,0.65101,0.69051,0.67,0.64778,0.70889,0.65333,0.69293,0.63131,0.35545,0.33818,0.33576,0.31111,0.35798,0.31657,0.33242,0.32939,0.29374,0.33717,0.32111,0.3598,0.34899,0.35848,0.32101
fisher,0.7901,0.90394,0.89485,0.82505,0.81879,0.84818,0.85051,0.82697,0.83788,0.92606,0.84939,0.90283,0.82253,0.84242,0.87616,0.8602,0.87616,0.8197,0.86384,0.79101,0.90616,0.79717,0.8402,0.89495,0.86,0.79343,0.81778,0.9002,0.8698,0.82313,0.26778,0.28333,0.27515,0.27929,0.26737,0.26838,0.25889,0.25404,0.3096,0.29717,0.27768,0.29444,0.24162,0.27687,0.28586,0.87646,0.81222,0.87131,0.89,0.86859,0.87525,0.91788,0.86424,0.84091,0.82323,0.75162,0.82798,0.88667,0.9098,0.90101,0.85414,0.82758,0.76727,0.79263,0.85333,0.87354,0.83485,0.81313,0.85182,0.83485,0.78141,0.76485,0.86606,0.82253,0.82758,0.85717,0.85939,0.88737,0.86263,0.86313,0.89838,0.86434,0.90535,0.89404,0.85525,0.87343,0.88202,0.86121,0.87384,0.87889,0.62556,0.58586,0.62636,0.66475,0.69556,0.63667,0.62212,0.6404,0.65505,0.7297,0.57313,0.65152,0.65374,0.66141,0.58111
