classifier,distance1minkowskidistance2polynomial rep1,distance1minkowskidistance2polynomial rep2,distance1minkowskidistance2polynomial rep3,distance1minkowskidistance2polynomial rep4,distance1minkowskidistance2polynomial rep5,distance1minkowskidistance2polynomial rep6,distance1minkowskidistance2polynomial rep7,distance1minkowskidistance2polynomial rep8,distance1minkowskidistance2polynomial rep9,distance1minkowskidistance2polynomial rep10,distance1minkowskidistance2polynomial rep11,distance1minkowskidistance2polynomial rep12,distance1minkowskidistance2polynomial rep13,distance1minkowskidistance2polynomial rep14,distance1minkowskidistance2polynomial rep15,distance1radial_basisdistance2polynomial rep1,distance1radial_basisdistance2polynomial rep2,distance1radial_basisdistance2polynomial rep3,distance1radial_basisdistance2polynomial rep4,distance1radial_basisdistance2polynomial rep5,distance1radial_basisdistance2polynomial rep6,distance1radial_basisdistance2polynomial rep7,distance1radial_basisdistance2polynomial rep8,distance1radial_basisdistance2polynomial rep9,distance1radial_basisdistance2polynomial rep10,distance1radial_basisdistance2polynomial rep11,distance1radial_basisdistance2polynomial rep12,distance1radial_basisdistance2polynomial rep13,distance1radial_basisdistance2polynomial rep14,distance1radial_basisdistance2polynomial rep15,distance1radial_basisdistance2minkowski rep1,distance1radial_basisdistance2minkowski rep2,distance1radial_basisdistance2minkowski rep3,distance1radial_basisdistance2minkowski rep4,distance1radial_basisdistance2minkowski rep5,distance1radial_basisdistance2minkowski rep6,distance1radial_basisdistance2minkowski rep7,distance1radial_basisdistance2minkowski rep8,distance1radial_basisdistance2minkowski rep9,distance1radial_basisdistance2minkowski rep10,distance1radial_basisdistance2minkowski rep11,distance1radial_basisdistance2minkowski rep12,distance1radial_basisdistance2minkowski rep13,distance1radial_basisdistance2minkowski rep14,distance1radial_basisdistance2minkowski rep15,distance1cosinedistance2polynomial rep1,distance1cosinedistance2polynomial rep2,distance1cosinedistance2polynomial rep3,distance1cosinedistance2polynomial rep4,distance1cosinedistance2polynomial rep5,distance1cosinedistance2polynomial rep6,distance1cosinedistance2polynomial rep7,distance1cosinedistance2polynomial rep8,distance1cosinedistance2polynomial rep9,distance1cosinedistance2polynomial rep10,distance1cosinedistance2polynomial rep11,distance1cosinedistance2polynomial rep12,distance1cosinedistance2polynomial rep13,distance1cosinedistance2polynomial rep14,distance1cosinedistance2polynomial rep15,distance1cosinedistance2minkowski rep1,distance1cosinedistance2minkowski rep2,distance1cosinedistance2minkowski rep3,distance1cosinedistance2minkowski rep4,distance1cosinedistance2minkowski rep5,distance1cosinedistance2minkowski rep6,distance1cosinedistance2minkowski rep7,distance1cosinedistance2minkowski rep8,distance1cosinedistance2minkowski rep9,distance1cosinedistance2minkowski rep10,distance1cosinedistance2minkowski rep11,distance1cosinedistance2minkowski rep12,distance1cosinedistance2minkowski rep13,distance1cosinedistance2minkowski rep14,distance1cosinedistance2minkowski rep15,distance1cosinedistance2radial_basis rep1,distance1cosinedistance2radial_basis rep2,distance1cosinedistance2radial_basis rep3,distance1cosinedistance2radial_basis rep4,distance1cosinedistance2radial_basis rep5,distance1cosinedistance2radial_basis rep6,distance1cosinedistance2radial_basis rep7,distance1cosinedistance2radial_basis rep8,distance1cosinedistance2radial_basis rep9,distance1cosinedistance2radial_basis rep10,distance1cosinedistance2radial_basis rep11,distance1cosinedistance2radial_basis rep12,distance1cosinedistance2radial_basis rep13,distance1cosinedistance2radial_basis rep14,distance1cosinedistance2radial_basis rep15,distance1distancedistance2polynomial rep1,distance1distancedistance2polynomial rep2,distance1distancedistance2polynomial rep3,distance1distancedistance2polynomial rep4,distance1distancedistance2polynomial rep5,distance1distancedistance2polynomial rep6,distance1distancedistance2polynomial rep7,distance1distancedistance2polynomial rep8,distance1distancedistance2polynomial rep9,distance1distancedistance2polynomial rep10,distance1distancedistance2polynomial rep11,distance1distancedistance2polynomial rep12,distance1distancedistance2polynomial rep13,distance1distancedistance2polynomial rep14,distance1distancedistance2polynomial rep15,distance1distancedistance2minkowski rep1,distance1distancedistance2minkowski rep2,distance1distancedistance2minkowski rep3,distance1distancedistance2minkowski rep4,distance1distancedistance2minkowski rep5,distance1distancedistance2minkowski rep6,distance1distancedistance2minkowski rep7,distance1distancedistance2minkowski rep8,distance1distancedistance2minkowski rep9,distance1distancedistance2minkowski rep10,distance1distancedistance2minkowski rep11,distance1distancedistance2minkowski rep12,distance1distancedistance2minkowski rep13,distance1distancedistance2minkowski rep14,distance1distancedistance2minkowski rep15,distance1distancedistance2radial_basis rep1,distance1distancedistance2radial_basis rep2,distance1distancedistance2radial_basis rep3,distance1distancedistance2radial_basis rep4,distance1distancedistance2radial_basis rep5,distance1distancedistance2radial_basis rep6,distance1distancedistance2radial_basis rep7,distance1distancedistance2radial_basis rep8,distance1distancedistance2radial_basis rep9,distance1distancedistance2radial_basis rep10,distance1distancedistance2radial_basis rep11,distance1distancedistance2radial_basis rep12,distance1distancedistance2radial_basis rep13,distance1distancedistance2radial_basis rep14,distance1distancedistance2radial_basis rep15,distance1distancedistance2cosine rep1,distance1distancedistance2cosine rep2,distance1distancedistance2cosine rep3,distance1distancedistance2cosine rep4,distance1distancedistance2cosine rep5,distance1distancedistance2cosine rep6,distance1distancedistance2cosine rep7,distance1distancedistance2cosine rep8,distance1distancedistance2cosine rep9,distance1distancedistance2cosine rep10,distance1distancedistance2cosine rep11,distance1distancedistance2cosine rep12,distance1distancedistance2cosine rep13,distance1distancedistance2cosine rep14,distance1distancedistance2cosine rep15
svc,0.31374,0.25879,0.28879,0.29374,0.32364,0.30111,0.28677,0.26253,0.27,0.28838,0.25323,0.34687,0.27293,0.32263,0.26909,0.3299,0.25848,0.30091,0.29101,0.27667,0.29455,0.25222,0.31101,0.29495,0.27141,0.30677,0.31273,0.28586,0.30303,0.29626,0.24808,0.27697,0.25283,0.28232,0.29212,0.29455,0.21505,0.26394,0.28768,0.25768,0.26414,0.24343,0.28293,0.21384,0.26646,0.26889,0.3099,0.27404,0.25455,0.35717,0.27899,0.30859,0.25717,0.25455,0.34848,0.28081,0.35303,0.34919,0.33899,0.27495,0.26515,0.25152,0.27828,0.24848,0.27717,0.26333,0.23384,0.26677,0.25606,0.22384,0.24283,0.21202,0.28253,0.24747,0.26111,0.89879,0.84869,0.82303,0.75909,0.81364,0.80828,0.7401,0.84747,0.87283,0.84535,0.89,0.85929,0.80273,0.84657,0.88636,0.32919,0.27939,0.40576,0.36343,0.35263,0.32465,0.35131,0.36869,0.34354,0.3903,0.37424,0.35101,0.36061,0.36828,0.36273,0.22737,0.23434,0.26525,0.27192,0.24505,0.22374,0.24889,0.25515,0.24747,0.2496,0.28636,0.24,0.19495,0.21172,0.23354,0.38838,0.32727,0.32848,0.27232,0.38939,0.31333,0.31889,0.25788,0.34525,0.36697,0.37879,0.34525,0.26909,0.26727,0.32828,0.25414,0.27899,0.25172,0.21535,0.24303,0.26394,0.25828,0.21475,0.24687,0.23879,0.27273,0.22848,0.25687,0.2302,0.29131
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.43424,0.3799,0.38889,0.39879,0.40485,0.40909,0.38939,0.41949,0.42576,0.40758,0.41475,0.43636,0.37747,0.40333,0.38535,0.36727,0.3603,0.34576,0.33889,0.35141,0.38222,0.33818,0.39141,0.35303,0.33263,0.33131,0.37677,0.36556,0.36323,0.37899,0.27475,0.26727,0.27525,0.26455,0.28949,0.31747,0.27879,0.31869,0.30141,0.28455,0.28515,0.30404,0.26879,0.29778,0.26616,0.37404,0.3696,0.39081,0.40434,0.43889,0.35838,0.39929,0.36354,0.40051,0.34404,0.41465,0.37343,0.39828,0.39364,0.43596,0.25364,0.24606,0.29182,0.27596,0.30586,0.27545,0.26303,0.28889,0.31848,0.24657,0.27364,0.28,0.25364,0.2802,0.30838,0.25566,0.23869,0.28283,0.27707,0.24859,0.23707,0.22707,0.26182,0.30758,0.27283,0.31626,0.25101,0.23919,0.27636,0.2497,0.51677,0.51253,0.49253,0.54111,0.52253,0.49192,0.53495,0.48414,0.52576,0.52131,0.51636,0.50192,0.49495,0.51545,0.5104,0.30091,0.24707,0.26869,0.28212,0.27475,0.29394,0.26566,0.26131,0.31949,0.2702,0.33485,0.26717,0.29677,0.28505,0.28323,0.29455,0.26929,0.3101,0.28,0.31374,0.29566,0.28889,0.2701,0.29313,0.30717,0.27465,0.28626,0.27788,0.28616,0.30384,0.26343,0.24566,0.26697,0.22091,0.23303,0.23707,0.23141,0.21869,0.24404,0.20667,0.24879,0.24061,0.24444,0.23576,0.25899
bpxnc,0.89919,0.9,0.9,0.86919,0.9,0.88919,0.89434,0.90071,0.8999,0.90141,0.72566,0.89778,0.78828,0.86899,0.9,0.78202,0.89929,0.87182,0.64758,0.8998,0.9,0.90071,0.9,0.90121,0.9,0.9,0.63717,0.65677,0.9001,0.90798,0.9,0.87909,0.9004,0.90182,0.9,0.9,0.9,0.87283,0.71141,0.9,0.9,0.9,0.9,0.9,0.90444,0.9,0.9,0.9,0.84293,0.78869,0.9,0.90172,0.90162,0.8698,0.83657,0.82687,0.9001,0.89293,0.89889,0.9,0.80707,0.87737,0.89414,0.89808,0.89919,0.69747,0.85434,0.74909,0.9,0.66495,0.9,0.86919,0.9,0.90939,0.80222,0.9,0.9,0.87788,0.8997,0.64929,0.9,0.9098,0.77949,0.8901,0.9,0.9004,0.7596,0.83909,0.89808,0.63444,0.85394,0.89697,0.88364,0.89283,0.9,0.9,0.90596,0.9,0.8696,0.78758,0.9,0.89717,0.90333,0.58172,0.85626,0.83404,0.88939,0.9,0.87737,0.85495,0.9,0.6704,0.86596,0.73434,0.9,0.85061,0.90333,0.8999,0.9,0.88515,0.90606,0.9,0.72414,0.9,0.90091,0.9,0.86293,0.9,0.9,0.80273,0.9003,0.89778,0.89545,0.9,0.81919,0.9,0.87505,0.9,0.9002,0.89838,0.9,0.9,0.86667,0.86364,0.90192,0.9,0.9,0.9,0.88889,0.86162
loglc,0.28929,0.27232,0.26798,0.26131,0.28636,0.3001,0.26051,0.28051,0.2903,0.28778,0.25192,0.33788,0.28162,0.28434,0.26899,0.17808,0.16263,0.22556,0.16303,0.17141,0.18707,0.17929,0.20081,0.17212,0.16131,0.18091,0.19475,0.17404,0.19768,0.18293,0.66202,0.84091,0.71222,0.65293,0.72727,0.66,0.85081,0.6596,0.80434,0.73798,0.72919,0.67071,0.68404,0.84182,0.67576,0.48667,0.47576,0.47576,0.52455,0.50525,0.52323,0.55364,0.44131,0.50556,0.5304,0.50101,0.54273,0.57263,0.54141,0.51303,0.22737,0.23364,0.29798,0.27131,0.28737,0.28616,0.26444,0.27354,0.33162,0.26323,0.27071,0.26333,0.28646,0.28313,0.25707,0.52657,0.63061,0.51313,0.76889,0.59586,0.60727,0.58657,0.60465,0.48061,0.75111,0.52859,0.69949,0.41758,0.50424,0.5001,0.56657,0.51394,0.54939,0.54465,0.76909,0.52152,0.51545,0.43717,0.56495,0.42788,0.56465,0.55364,0.49071,0.58343,0.5503,0.2203,0.22253,0.22616,0.21101,0.20283,0.24131,0.2102,0.19768,0.24828,0.2198,0.24354,0.21697,0.21182,0.2201,0.23061,0.72828,0.4402,0.61424,0.51414,0.57121,0.73697,0.78949,0.6103,0.79535,0.56414,0.63384,0.67737,0.66697,0.60697,0.62354,0.16636,0.16333,0.16818,0.14808,0.16646,0.14879,0.14717,0.15182,0.1598,0.16636,0.18071,0.14505,0.17273,0.15293,0.1804
knnc,0.52828,0.45869,0.39535,0.46364,0.40838,0.41828,0.39455,0.42737,0.43283,0.41434,0.42051,0.43929,0.38707,0.41131,0.38909,0.37626,0.40141,0.41293,0.34182,0.39152,0.39212,0.34788,0.40566,0.43657,0.34212,0.38586,0.38434,0.37889,0.41848,0.38071,0.27646,0.27152,0.27869,0.31152,0.31707,0.3201,0.28455,0.35515,0.34485,0.33253,0.32828,0.35747,0.27152,0.3002,0.2696,0.42869,0.37869,0.41657,0.47505,0.44515,0.37414,0.41596,0.42859,0.41051,0.36374,0.40818,0.38283,0.40273,0.39606,0.44495,0.25879,0.2496,0.29495,0.28081,0.34626,0.27848,0.32828,0.29354,0.32636,0.2502,0.27495,0.32646,0.25505,0.31667,0.31303,0.25747,0.24333,0.28475,0.28091,0.2503,0.27384,0.2303,0.26636,0.31091,0.27616,0.31889,0.25303,0.24172,0.27818,0.29081,0.59121,0.50131,0.49263,0.6003,0.51525,0.49424,0.51808,0.48061,0.5096,0.4997,0.50737,0.4996,0.49071,0.54404,0.54909,0.34838,0.25071,0.27192,0.28869,0.32212,0.35071,0.32697,0.26374,0.32232,0.29798,0.34,0.32899,0.30202,0.28869,0.2896,0.29838,0.27253,0.34566,0.32354,0.31747,0.29626,0.35646,0.27455,0.29495,0.31,0.27687,0.29182,0.28081,0.28788,0.35384,0.30212,0.24828,0.2703,0.22545,0.23707,0.24192,0.23586,0.26111,0.24535,0.21101,0.25263,0.28808,0.30455,0.2696,0.26253
fisher,0.28596,0.26808,0.26758,0.26202,0.28717,0.29727,0.26091,0.27838,0.28798,0.28424,0.25141,0.33717,0.28,0.27717,0.26788,0.17778,0.16343,0.22899,0.16273,0.1698,0.18869,0.1802,0.19859,0.17343,0.15545,0.1804,0.19131,0.17182,0.19465,0.18364,0.66192,0.84414,0.70364,0.65404,0.72253,0.66192,0.85414,0.66051,0.80424,0.7103,0.71505,0.66202,0.67929,0.83253,0.67081,0.4499,0.43848,0.43283,0.4604,0.45081,0.47374,0.50444,0.4003,0.49545,0.47747,0.45172,0.47242,0.48859,0.49828,0.4497,0.22677,0.23556,0.29828,0.27232,0.28657,0.28687,0.26303,0.27111,0.33242,0.26414,0.27293,0.2604,0.28576,0.28101,0.25273,0.52485,0.62616,0.51051,0.77404,0.5997,0.60747,0.58667,0.61798,0.48061,0.75192,0.52737,0.72061,0.41727,0.50455,0.49778,0.56394,0.51818,0.56495,0.54505,0.7697,0.53778,0.51929,0.43737,0.55899,0.42646,0.57081,0.54515,0.49293,0.57939,0.53444,0.21636,0.21909,0.22333,0.21,0.2004,0.24202,0.20899,0.19788,0.24859,0.2196,0.24081,0.21778,0.2101,0.21949,0.22586,0.68374,0.44323,0.60283,0.5103,0.57202,0.72747,0.79939,0.61949,0.79051,0.56919,0.64263,0.66909,0.65747,0.60333,0.61444,0.16808,0.16495,0.16929,0.14677,0.16859,0.15071,0.14798,0.15222,0.1603,0.16737,0.18192,0.14434,0.17263,0.15293,0.18162
