classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.3301,0.3199,0.29515,0.33929,0.35061,0.31,0.34556,0.30778,0.33556,0.31677,0.38859,0.2796,0.33414,0.36778,0.31535,0.35152,0.37212,0.36636,0.34586,0.33131,0.34949,0.37424,0.33444,0.41131,0.40343,0.35768,0.36919,0.38212,0.33212,0.42172,0.36111,0.40172,0.36515,0.43576,0.29374,0.39778,0.38677,0.40354,0.40455,0.43697,0.37545,0.43808,0.36727,0.41717,0.41869,0.44636,0.36727,0.48354,0.58343,0.41899,0.51616,0.49818,0.52707,0.58788,0.57939,0.41535,0.52687,0.49424,0.4799,0.49293,0.28333,0.29798,0.2903,0.34768,0.35505,0.34253,0.29576,0.32707,0.32848,0.27626,0.32929,0.34182,0.29626,0.34586,0.41212,0.87172,0.9,0.9,0.9,0.9,0.9,0.89949,0.9,0.9,0.9,0.9,0.9,0.9,0.8997,0.9,0.8999,0.9,0.9,0.9,0.9,0.9,0.89949,0.9,0.9,0.9,0.9,0.9,0.9,0.89949,0.89909
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.88485,0.87253,0.86444,0.88283,0.88091,0.86263,0.88354,0.84707,0.89192,0.8696,0.88737,0.85667,0.87414,0.87919,0.85818,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.30657,0.30182,0.31758,0.31545,0.28929,0.28778,0.32828,0.29465,0.29758,0.28657,0.30869,0.29939,0.30768,0.33717,0.28455,0.39879,0.35364,0.35131,0.37646,0.39131,0.35899,0.36707,0.36263,0.36364,0.38222,0.38131,0.37818,0.38343,0.34313,0.35727,0.27778,0.30747,0.27525,0.30354,0.27859,0.31071,0.27828,0.27071,0.29889,0.2903,0.30192,0.30798,0.29172,0.30404,0.31293,0.27071,0.2996,0.27859,0.31323,0.29162,0.29,0.33646,0.29919,0.29152,0.28091,0.28525,0.28586,0.26121,0.27202,0.27414,0.30475,0.30768,0.3097,0.30909,0.36545,0.28293,0.32535,0.28808,0.27949,0.29192,0.31515,0.3104,0.29162,0.3303,0.3004,0.80475,0.81323,0.83899,0.8403,0.84091,0.81889,0.81667,0.84848,0.81424,0.82828,0.81232,0.80737,0.84333,0.82182,0.83354,0.65919,0.7199,0.70384,0.68596,0.67879,0.68323,0.67424,0.67273,0.72657,0.6798,0.66616,0.69929,0.70939,0.65939,0.67323
bpxnc,0.9,0.89939,0.9,0.9,0.9,0.9,0.87727,0.90768,0.9,0.9,0.90323,0.74636,0.9,0.9,0.9,0.9,0.8897,0.9,0.89818,0.8901,0.81939,0.8998,0.87273,0.8603,0.83394,0.88263,0.9,0.71677,0.8899,0.73323,0.91212,0.88182,0.88677,0.9,0.9,0.69394,0.9,0.64889,0.8999,0.7499,0.9,0.9,0.91354,0.9,0.88788,0.9,0.8998,0.89364,0.83596,0.9,0.9,0.7497,0.89475,0.89566,0.9,0.9,0.9,0.80222,0.9,0.9,0.9,0.84949,0.9,0.90566,0.74899,0.89566,0.84051,0.80919,0.89697,0.82646,0.9,0.88364,0.87657,0.9,0.87293,0.88838,0.89848,0.9003,0.92808,0.90222,0.90182,0.90091,0.88758,0.8701,0.90768,0.87859,0.90525,0.8899,0.89727,0.91606,0.9,0.9,0.9,0.9,0.8998,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
loglc,0.42889,0.42717,0.39495,0.42616,0.46515,0.38374,0.4303,0.40778,0.42071,0.40283,0.44354,0.41475,0.46475,0.4303,0.41,0.39475,0.40354,0.43747,0.40434,0.4397,0.3701,0.40566,0.41657,0.45182,0.40172,0.42838,0.43747,0.39859,0.41323,0.39525,0.24283,0.23121,0.24162,0.24323,0.22444,0.26263,0.23838,0.22535,0.25051,0.24465,0.2304,0.27131,0.23646,0.24323,0.28253,0.41697,0.40566,0.40616,0.46071,0.37636,0.40808,0.42414,0.4604,0.41727,0.38737,0.38535,0.40525,0.41364,0.41616,0.38414,0.45212,0.37576,0.4497,0.42545,0.49414,0.44131,0.42323,0.4099,0.40889,0.40192,0.44232,0.40051,0.38525,0.44071,0.49586,0.89354,0.86808,0.87051,0.89081,0.89253,0.85172,0.87657,0.87697,0.87616,0.9002,0.90939,0.85919,0.89192,0.89192,0.86919,0.79889,0.82758,0.79071,0.81475,0.76414,0.78545,0.72475,0.77848,0.80242,0.80939,0.81566,0.77596,0.77303,0.77939,0.74869
knnc,0.30828,0.30444,0.32131,0.31717,0.29606,0.32929,0.33222,0.29747,0.29949,0.29061,0.31071,0.30475,0.31071,0.37737,0.29131,0.46828,0.3598,0.35556,0.38141,0.39364,0.4196,0.42909,0.39848,0.40808,0.46141,0.45636,0.45848,0.39081,0.38677,0.40646,0.34556,0.35475,0.2798,0.3101,0.31364,0.31616,0.28131,0.27576,0.33848,0.29758,0.30525,0.31475,0.29626,0.38212,0.31697,0.27424,0.34677,0.28202,0.31495,0.39081,0.29202,0.37566,0.30182,0.37505,0.28455,0.2898,0.33848,0.26636,0.27485,0.27929,0.30727,0.30889,0.31172,0.36263,0.39859,0.3297,0.32848,0.29242,0.28242,0.29667,0.32061,0.38667,0.29384,0.33424,0.30263,0.69101,0.74586,0.74131,0.69303,0.67737,0.69051,0.67303,0.70919,0.71172,0.75465,0.70586,0.65657,0.71343,0.6796,0.72354,0.66283,0.68758,0.6898,0.68111,0.68152,0.68626,0.6896,0.68101,0.69828,0.67303,0.66051,0.68505,0.70657,0.67131,0.68455
fisher,0.42808,0.42495,0.39495,0.42707,0.46071,0.38374,0.4303,0.40657,0.42,0.4003,0.44333,0.41091,0.46303,0.43313,0.40697,0.39606,0.40232,0.43444,0.40889,0.44192,0.3798,0.41051,0.42172,0.45263,0.40303,0.42596,0.44333,0.39606,0.4198,0.4002,0.24364,0.23172,0.24051,0.24343,0.22404,0.26475,0.23636,0.22545,0.25091,0.24475,0.2297,0.27121,0.23616,0.24202,0.28364,0.41687,0.40525,0.40364,0.46061,0.37758,0.4104,0.42172,0.45919,0.41636,0.38515,0.38525,0.40556,0.41283,0.41737,0.38283,0.45091,0.37576,0.44465,0.42364,0.48424,0.4404,0.42253,0.41091,0.40444,0.40051,0.43859,0.40091,0.38556,0.44131,0.49263,0.84303,0.84253,0.84616,0.84313,0.82768,0.85,0.84414,0.86929,0.85313,0.89162,0.84202,0.83455,0.85727,0.86081,0.84434,0.81202,0.84727,0.81798,0.83879,0.79424,0.81646,0.76737,0.79455,0.81414,0.82697,0.8199,0.81364,0.80717,0.79939,0.77515
