classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.30071,0.36606,0.29141,0.35768,0.35909,0.32121,0.35303,0.34212,0.28606,0.37828,0.35364,0.32949,0.33939,0.33929,0.34636,0.36687,0.33889,0.35717,0.43182,0.36525,0.32505,0.40424,0.40758,0.33828,0.43172,0.3897,0.3799,0.31707,0.34606,0.4297,0.41333,0.40465,0.39545,0.39566,0.46879,0.45919,0.39384,0.41293,0.32747,0.41626,0.40101,0.45081,0.35141,0.37364,0.36667,0.49919,0.45525,0.55192,0.56081,0.50596,0.47869,0.53747,0.52354,0.48889,0.40848,0.48081,0.53778,0.43515,0.51818,0.47303,0.3402,0.29949,0.32202,0.34828,0.33434,0.37172,0.31162,0.34283,0.33707,0.35545,0.33768,0.32869,0.34788,0.33404,0.35172,0.9,0.9,0.9,0.9,0.9003,0.9,0.9,0.87253,0.89747,0.9,0.9,0.9,0.89939,0.89949,0.9,0.8999,0.9,0.8998,0.9,0.9,0.9,0.89949,0.9,0.8999,0.9,0.8997,0.9,0.9,0.89515,0.89909
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.84889,0.83758,0.86848,0.85283,0.85717,0.8398,0.85414,0.82475,0.84111,0.85949,0.86667,0.8404,0.84414,0.82929,0.84,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.3201,0.27949,0.31253,0.31758,0.32434,0.30384,0.31485,0.35131,0.29556,0.32848,0.31121,0.32343,0.29818,0.32111,0.28061,0.36869,0.36707,0.38717,0.39556,0.39818,0.39091,0.39505,0.43909,0.38273,0.40525,0.40404,0.38768,0.37071,0.34505,0.37758,0.28374,0.27566,0.34909,0.28879,0.30747,0.3104,0.30869,0.31111,0.28747,0.27576,0.2997,0.31212,0.31283,0.30596,0.30636,0.28394,0.31556,0.30242,0.32374,0.32879,0.30394,0.35232,0.26919,0.31566,0.30303,0.30899,0.29808,0.31061,0.31758,0.3099,0.32586,0.33899,0.29727,0.30556,0.33697,0.30747,0.32394,0.32263,0.31172,0.31232,0.33899,0.30253,0.33535,0.30172,0.33636,0.76444,0.81222,0.8097,0.78646,0.78293,0.80273,0.78111,0.76212,0.79657,0.79283,0.78485,0.80414,0.80949,0.80222,0.78111,0.3797,0.38828,0.39869,0.50141,0.40545,0.41242,0.42182,0.44869,0.43566,0.38313,0.39283,0.42384,0.45566,0.47192,0.41333
bpxnc,0.9,0.82646,0.9,0.9,0.89838,0.9,0.88949,0.89707,0.88121,0.9,0.89919,0.9,0.9,0.9,0.9,0.82323,0.65677,0.81455,0.89475,0.82828,0.83859,0.87505,0.9,0.88535,0.90576,0.89798,0.9,0.80556,0.66556,0.9,0.9,0.89949,0.64283,0.90596,0.89879,0.9,0.9,0.9,0.9,0.9,0.87778,0.80465,0.9,0.9,0.8998,0.77384,0.84263,0.67495,0.9,0.89566,0.89828,0.85061,0.83879,0.9,0.9,0.90535,0.88051,0.9,0.9,0.9,0.76505,0.87758,0.9002,0.9,0.9,0.83606,0.77162,0.89051,0.9,0.9,0.90061,0.89939,0.89848,0.83152,0.90414,0.85485,0.89434,0.8998,0.89465,0.91535,0.89091,0.90152,0.89919,0.89354,0.89869,0.89697,0.89687,0.89505,0.88919,0.89808,0.9,0.9,0.9,0.89929,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999
loglc,0.61323,0.53404,0.52505,0.51455,0.53323,0.53414,0.57202,0.49,0.51232,0.57414,0.55879,0.57172,0.52727,0.58444,0.4601,0.48768,0.51202,0.50677,0.5501,0.49434,0.53212,0.56737,0.5299,0.5399,0.48051,0.50889,0.59172,0.54242,0.51808,0.51828,0.2503,0.22515,0.26202,0.23162,0.2601,0.25747,0.2499,0.27465,0.24364,0.24374,0.27707,0.25152,0.22727,0.25646,0.26737,0.50626,0.53606,0.47303,0.49616,0.5202,0.47939,0.55475,0.50626,0.54778,0.51414,0.51475,0.50424,0.51515,0.52475,0.52525,0.57616,0.54556,0.49465,0.48697,0.50394,0.50566,0.5004,0.53838,0.5304,0.55091,0.52364,0.51263,0.58384,0.54808,0.52051,0.8604,0.8404,0.85879,0.91677,0.88253,0.87141,0.88737,0.85525,0.86455,0.86505,0.86162,0.82162,0.86737,0.86374,0.86919,0.69768,0.70081,0.71162,0.76889,0.6096,0.75,0.61919,0.74909,0.72152,0.68899,0.67808,0.69101,0.77505,0.72212,0.65273
knnc,0.32242,0.28242,0.31535,0.31899,0.3901,0.33192,0.38879,0.35364,0.29798,0.33121,0.31566,0.32646,0.30313,0.32313,0.28424,0.37465,0.42081,0.39535,0.39768,0.40101,0.39859,0.40131,0.48899,0.38414,0.40949,0.40818,0.42384,0.43657,0.40889,0.38657,0.28768,0.2796,0.35758,0.29111,0.31071,0.31333,0.31434,0.31141,0.29152,0.27939,0.30364,0.31747,0.31404,0.30939,0.30859,0.28444,0.31919,0.30515,0.32677,0.33444,0.30636,0.35556,0.27222,0.31889,0.30636,0.31162,0.2998,0.31323,0.3203,0.31434,0.32879,0.42818,0.33727,0.36323,0.34,0.3101,0.32636,0.3798,0.31596,0.31626,0.34111,0.30333,0.33909,0.30707,0.3401,0.69828,0.66404,0.68061,0.65111,0.69283,0.71747,0.69202,0.68404,0.7002,0.69232,0.73333,0.73465,0.71909,0.69182,0.67828,0.37828,0.40404,0.3799,0.3997,0.40364,0.38818,0.42566,0.40172,0.42798,0.37869,0.40283,0.38869,0.39061,0.40889,0.41717
fisher,0.60475,0.53232,0.51798,0.51263,0.53222,0.53394,0.56768,0.4901,0.50677,0.57444,0.55475,0.56596,0.52505,0.58879,0.45869,0.48889,0.5104,0.50131,0.54848,0.49364,0.5302,0.56495,0.53323,0.54081,0.47596,0.5102,0.59242,0.54808,0.51465,0.51828,0.25121,0.22485,0.26141,0.23081,0.26182,0.25798,0.25061,0.27414,0.24313,0.24354,0.27646,0.25081,0.22747,0.25606,0.26758,0.50303,0.53232,0.47172,0.49303,0.52121,0.48111,0.55525,0.50717,0.54636,0.51283,0.51545,0.50475,0.50788,0.52434,0.52576,0.57525,0.54404,0.49566,0.48525,0.50323,0.50677,0.50071,0.53778,0.52919,0.5502,0.52273,0.51061,0.5703,0.53677,0.51859,0.86909,0.86081,0.85596,0.88889,0.85364,0.9001,0.8597,0.85808,0.85576,0.89313,0.8798,0.86838,0.89636,0.86152,0.88343,0.69525,0.7004,0.71424,0.77222,0.67374,0.75,0.62283,0.74889,0.72091,0.68899,0.67232,0.6902,0.77505,0.71929,0.67485
