classifier, distanceminkowski rep1 prototypes10 training10, distanceminkowski rep2 prototypes10 training10, distanceminkowski rep3 prototypes10 training10, distanceminkowski rep4 prototypes10 training10, distanceminkowski rep5 prototypes10 training10, distanceminkowski rep6 prototypes10 training10, distanceminkowski rep7 prototypes10 training10, distanceminkowski rep8 prototypes10 training10, distanceminkowski rep9 prototypes10 training10, distanceminkowski rep10 prototypes10 training10, distanceminkowski rep11 prototypes10 training10, distanceminkowski rep12 prototypes10 training10, distanceminkowski rep13 prototypes10 training10, distanceminkowski rep14 prototypes10 training10, distanceminkowski rep15 prototypes10 training10, distancepolynomial rep1 prototypes10 training10, distancepolynomial rep2 prototypes10 training10, distancepolynomial rep3 prototypes10 training10, distancepolynomial rep4 prototypes10 training10, distancepolynomial rep5 prototypes10 training10, distancepolynomial rep6 prototypes10 training10, distancepolynomial rep7 prototypes10 training10, distancepolynomial rep8 prototypes10 training10, distancepolynomial rep9 prototypes10 training10, distancepolynomial rep10 prototypes10 training10, distancepolynomial rep11 prototypes10 training10, distancepolynomial rep12 prototypes10 training10, distancepolynomial rep13 prototypes10 training10, distancepolynomial rep14 prototypes10 training10, distancepolynomial rep15 prototypes10 training10, distancedistance rep1 prototypes10 training10, distancedistance rep2 prototypes10 training10, distancedistance rep3 prototypes10 training10, distancedistance rep4 prototypes10 training10, distancedistance rep5 prototypes10 training10, distancedistance rep6 prototypes10 training10, distancedistance rep7 prototypes10 training10, distancedistance rep8 prototypes10 training10, distancedistance rep9 prototypes10 training10, distancedistance rep10 prototypes10 training10, distancedistance rep11 prototypes10 training10, distancedistance rep12 prototypes10 training10, distancedistance rep13 prototypes10 training10, distancedistance rep14 prototypes10 training10, distancedistance rep15 prototypes10 training10, distancecosine rep1 prototypes10 training10, distancecosine rep2 prototypes10 training10, distancecosine rep3 prototypes10 training10, distancecosine rep4 prototypes10 training10, distancecosine rep5 prototypes10 training10, distancecosine rep6 prototypes10 training10, distancecosine rep7 prototypes10 training10, distancecosine rep8 prototypes10 training10, distancecosine rep9 prototypes10 training10, distancecosine rep10 prototypes10 training10, distancecosine rep11 prototypes10 training10, distancecosine rep12 prototypes10 training10, distancecosine rep13 prototypes10 training10, distancecosine rep14 prototypes10 training10, distancecosine rep15 prototypes10 training10, distancendiff rep1 prototypes10 training10, distancendiff rep2 prototypes10 training10, distancendiff rep3 prototypes10 training10, distancendiff rep4 prototypes10 training10, distancendiff rep5 prototypes10 training10, distancendiff rep6 prototypes10 training10, distancendiff rep7 prototypes10 training10, distancendiff rep8 prototypes10 training10, distancendiff rep9 prototypes10 training10, distancendiff rep10 prototypes10 training10, distancendiff rep11 prototypes10 training10, distancendiff rep12 prototypes10 training10, distancendiff rep13 prototypes10 training10, distancendiff rep14 prototypes10 training10, distancendiff rep15 prototypes10 training10, distancesigmoid rep1 prototypes10 training10, distancesigmoid rep2 prototypes10 training10, distancesigmoid rep3 prototypes10 training10, distancesigmoid rep4 prototypes10 training10, distancesigmoid rep5 prototypes10 training10, distancesigmoid rep6 prototypes10 training10, distancesigmoid rep7 prototypes10 training10, distancesigmoid rep8 prototypes10 training10, distancesigmoid rep9 prototypes10 training10, distancesigmoid rep10 prototypes10 training10, distancesigmoid rep11 prototypes10 training10, distancesigmoid rep12 prototypes10 training10, distancesigmoid rep13 prototypes10 training10, distancesigmoid rep14 prototypes10 training10, distancesigmoid rep15 prototypes10 training10, distanceradial_basis rep1 prototypes10 training10, distanceradial_basis rep2 prototypes10 training10, distanceradial_basis rep3 prototypes10 training10, distanceradial_basis rep4 prototypes10 training10, distanceradial_basis rep5 prototypes10 training10, distanceradial_basis rep6 prototypes10 training10, distanceradial_basis rep7 prototypes10 training10, distanceradial_basis rep8 prototypes10 training10, distanceradial_basis rep9 prototypes10 training10, distanceradial_basis rep10 prototypes10 training10, distanceradial_basis rep11 prototypes10 training10, distanceradial_basis rep12 prototypes10 training10, distanceradial_basis rep13 prototypes10 training10, distanceradial_basis rep14 prototypes10 training10, distanceradial_basis rep15 prototypes10 training10
svc,0.27949,0.29949,0.26828,0.24646,0.29434,0.29515,0.3204,0.26879,0.31505,0.27747,0.2803,0.28848,0.28374,0.26657,0.29505,0.34596,0.36303,0.31535,0.29424,0.35121,0.30606,0.31566,0.29465,0.35081,0.31949,0.30071,0.34333,0.38354,0.30303,0.29091,0.31586,0.32303,0.37899,0.30222,0.33061,0.3198,0.32828,0.31949,0.30444,0.28616,0.3597,0.26697,0.34939,0.26576,0.30131,0.50545,0.43121,0.39606,0.43192,0.47616,0.38899,0.45707,0.42788,0.49687,0.35818,0.46939,0.47081,0.49626,0.48657,0.42737,0.79525,0.84273,0.83515,0.77222,0.77657,0.81626,0.84707,0.80273,0.83566,0.84111,0.7498,0.78909,0.85162,0.71293,0.81737,0.9,0.9,0.8998,0.8999,0.9,0.9,0.9,0.9,0.9,0.9,0.8997,0.9,0.9,0.9,0.9,0.9,0.8996,0.8996,0.87323,0.9,0.8998,0.8996,0.8998,0.9,0.89919,0.8999,0.9,0.85586,0.8999,0.8999
qdc,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.90232,0.86737,0.86141,0.87051,0.8397,0.84303,0.83424,0.85354,0.91162,0.83697,0.8796,0.85404,0.88485,0.88141,0.88333,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
parzen,0.28394,0.26636,0.27465,0.27475,0.28949,0.27313,0.27545,0.30263,0.28727,0.29727,0.29081,0.28263,0.27525,0.29273,0.27919,0.35545,0.3696,0.37808,0.34677,0.38939,0.37404,0.35475,0.38657,0.34283,0.35949,0.39768,0.40475,0.34182,0.35091,0.35879,0.28798,0.25778,0.28162,0.28707,0.29172,0.26434,0.28434,0.25202,0.27788,0.28818,0.28434,0.26545,0.28273,0.25929,0.24374,0.26758,0.26687,0.24727,0.27101,0.24364,0.25606,0.28364,0.26848,0.27606,0.23525,0.26737,0.2703,0.27566,0.25859,0.25141,0.36788,0.40929,0.40111,0.41828,0.38707,0.40717,0.41485,0.39505,0.39737,0.44091,0.39616,0.42869,0.41495,0.41657,0.42182,0.81061,0.80455,0.81859,0.82848,0.83212,0.82687,0.86939,0.81,0.82061,0.81727,0.79535,0.8297,0.84434,0.73697,0.80131,0.54818,0.59717,0.61667,0.54505,0.52566,0.52202,0.52303,0.55343,0.5998,0.55485,0.54414,0.56909,0.60424,0.57253,0.60566
bpxnc,0.85152,0.75616,0.9,0.85697,0.86596,0.89384,0.92162,0.7197,0.9,0.81778,0.9004,0.9,0.89566,0.8903,0.8996,0.9,0.9,0.90323,0.89717,0.88556,0.91515,0.90899,0.86899,0.8697,0.9,0.80788,0.90202,0.8701,0.90101,0.9,0.91071,0.8603,0.9,0.8398,0.87848,0.83434,0.9,0.9,0.9,0.9,0.72646,0.87939,0.9,0.71485,0.9,0.71242,0.9,0.9,0.9,0.9,0.9,0.9,0.8999,0.9,0.77646,0.73414,0.9,0.9,0.88384,0.8797,0.9,0.9,0.9,0.9,0.75717,0.9,0.88848,0.9,0.9,0.9,0.9,0.88899,0.9,0.9,0.9,0.90535,0.89283,0.88737,0.90121,0.89202,0.90889,0.89212,0.89182,0.89677,0.90444,0.91323,0.89313,0.91646,0.89798,0.91343,0.9,0.9,0.9,0.9,0.9,0.90091,0.9,0.9,0.9,0.9,0.9,0.9,0.89606,0.9,0.89788
loglc,0.29394,0.28939,0.28232,0.29768,0.29152,0.27384,0.29566,0.30606,0.29586,0.29121,0.27869,0.27162,0.27808,0.28091,0.30192,0.43051,0.44475,0.41707,0.39808,0.43778,0.45424,0.43414,0.4004,0.45657,0.42556,0.47677,0.44414,0.38949,0.43818,0.40101,0.22162,0.21061,0.21828,0.23111,0.22515,0.22596,0.20364,0.19485,0.22808,0.22677,0.21909,0.2003,0.21192,0.19343,0.18303,0.42798,0.38394,0.37465,0.47374,0.42455,0.42444,0.44798,0.45475,0.4704,0.42949,0.36687,0.36697,0.3997,0.41596,0.4001,0.35232,0.37303,0.40081,0.37606,0.42,0.3502,0.39576,0.36657,0.3898,0.38919,0.37929,0.38535,0.38071,0.36677,0.34929,0.89232,0.85525,0.91111,0.88737,0.89768,0.88778,0.90384,0.84394,0.83374,0.89737,0.8802,0.87434,0.88071,0.8998,0.86141,0.72768,0.7299,0.63535,0.68869,0.68869,0.62162,0.69343,0.72101,0.70949,0.65556,0.65121,0.68475,0.70192,0.66253,0.69626
knnc,0.28818,0.3504,0.27707,0.27616,0.29364,0.27566,0.27687,0.30636,0.28869,0.3004,0.29313,0.28808,0.27818,0.29556,0.28505,0.42566,0.42556,0.38202,0.35313,0.39333,0.3801,0.42636,0.38929,0.41838,0.36596,0.40606,0.40838,0.35111,0.35495,0.43727,0.29475,0.2604,0.28434,0.3199,0.29485,0.26909,0.28848,0.29374,0.28414,0.29141,0.28869,0.33091,0.28737,0.32222,0.24818,0.27232,0.26909,0.24939,0.27444,0.24535,0.26152,0.28697,0.27111,0.27768,0.23768,0.26929,0.27354,0.27838,0.26475,0.25273,0.38141,0.41505,0.41495,0.42758,0.45404,0.44717,0.49374,0.44525,0.47384,0.5096,0.39828,0.43424,0.41717,0.41414,0.44131,0.69727,0.70616,0.69323,0.69697,0.73354,0.6997,0.74152,0.70515,0.67535,0.69788,0.70586,0.74444,0.68869,0.71101,0.68687,0.51293,0.4896,0.5104,0.50919,0.46303,0.46626,0.46444,0.51131,0.54263,0.51535,0.45707,0.47636,0.49646,0.53343,0.52616
fisher,0.29253,0.2901,0.28283,0.29657,0.29,0.27333,0.29586,0.30747,0.29515,0.29121,0.27798,0.27162,0.27657,0.2804,0.30465,0.42404,0.44475,0.41747,0.39808,0.44303,0.45424,0.43121,0.40293,0.45727,0.42545,0.47232,0.44384,0.39162,0.43293,0.40263,0.22283,0.20949,0.21929,0.23,0.22687,0.22364,0.20424,0.19667,0.22566,0.22707,0.22061,0.1996,0.21101,0.19576,0.18303,0.42465,0.38687,0.37424,0.47566,0.42444,0.42232,0.44636,0.45394,0.47061,0.42949,0.36768,0.36818,0.39747,0.41455,0.39687,0.34131,0.35889,0.38929,0.37333,0.41455,0.34515,0.38515,0.35838,0.38444,0.38374,0.37192,0.37828,0.38061,0.36051,0.34939,0.85889,0.85293,0.86293,0.84354,0.86646,0.85172,0.83636,0.88727,0.86333,0.88818,0.88273,0.87697,0.87242,0.84495,0.87051,0.72727,0.72949,0.70242,0.68838,0.68838,0.62192,0.69455,0.72091,0.68374,0.65131,0.65455,0.69202,0.70232,0.66404,0.71313
