 , nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:nearest thresholding:false nrFeatures:0 featSelect:none pca:0
svc,0.74152,0.70232,0.65374,0.45646,0.35566,0.38273,0.38141,0.35434,0.40525,0.40051
qdc,0.9,0.9,0.9,0.75172,0.6997,0.6004,0.80303,0.85556,0.69828,0.9
parzen,0.61485,0.61172,0.61455,0.38596,0.36495,0.3697,0.33313,0.35586,0.34707,0.31697
bpxnc,0.60768,0.64172,0.6399,0.59222,0.52283,0.50949,0.59182,0.52303,0.42778,0.54505
loglc,0.61404,0.61404,0.61364,0.50556,0.56525,0.43061,0.51798,0.44636,0.45465,0.41859
knnc,0.73242,0.6503,0.65152,0.41939,0.40576,0.41495,0.39768,0.39828,0.34616,0.31909
treec, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
