 , nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:box thresholding:true nrFeatures:0 featSelect:none pca:0
svc,0.71616,0.72253,0.76859,0.41202,0.40828,0.40071,0.43434,0.37333,0.36838,0.40444
qdc,0.9,0.9,0.9,0.8204,0.78263,0.68586,0.82414,0.77939,0.67697,0.9
parzen,0.58687,0.58667,0.5901,0.36071,0.35212,0.36323,0.35162,0.35283,0.33919,0.32141
bpxnc,0.59455,0.59354,0.64444,0.4699,0.47333,0.49495,0.55798,0.57364,0.46758,0.51152
loglc,0.59354,0.59354,0.5997,0.49192,0.46182,0.49202,0.56566,0.46465,0.39525,0.41818
knnc,0.61586,0.6202,0.68515,0.40273,0.38162,0.39101,0.36707,0.36051,0.36101,0.32626
treec, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
