 , nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:10 resizeMethod:nearest thresholding:false nrFeatures:0 featSelect:none pca:0
svc,0.7701,0.74586,0.70354,0.4297,0.39566,0.39939,0.41626,0.37525,0.38636,0.37232
qdc,0.8697,0.8697,0.86879,0.89384,0.8803,0.65869,0.88606,0.9,0.80586,0.9
parzen,0.60798,0.60727,0.60788,0.40303,0.39455,0.3901,0.3698,0.35727,0.33606,0.32889
bpxnc,0.64434,0.59859,0.62394,0.63404,0.56323,0.56616,0.53111,0.73495,0.49343,0.58657
loglc,0.61848,0.61848,0.64333,0.53879,0.49131,0.41303,0.55384,0.47131,0.4103,0.81778
knnc,0.64202,0.68071,0.61162,0.43162,0.41687,0.43202,0.39273,0.38182,0.35606,0.33848
treec, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
