"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"73","parzen",0.2297,10,"8","bicubic","false","0","0",0.95,"Pixels"
"74","bpxnc",0.45192,10,"8","bicubic","false","0","0",0.95,"Pixels"
"75","loglc",0.29232,10,"8","bicubic","false","0","0",0.95,"Pixels"
"76","knnc",0.24323,10,"8","bicubic","false","0","0",0.95,"Pixels"
"77","fisherc",NA,10,"8","bicubic","false","0","0",0.95,"Pixels"
"78","svc",0.25333,10,"8","bicubic","false","0","0",0.8,"Pixels"
"79","qdc",0.59616,10,"8","bicubic","false","0","0",0.8,"Pixels"
"80","parzen",0.22636,10,"8","bicubic","false","0","0",0.8,"Pixels"
"81","bpxnc",0.36182,10,"8","bicubic","false","0","0",0.8,"Pixels"
"82","loglc",0.27101,10,"8","bicubic","false","0","0",0.8,"Pixels"
"83","knnc",0.27677,10,"8","bicubic","false","0","0",0.8,"Pixels"
"84","fisherc",NA,10,"8","bicubic","false","0","0",0.8,"Pixels"
"85","svc",0.12887,200,"10","bicubic","false","0","0",0,"Pixels"
"86","qdc",0.27713,200,"10","bicubic","false","0","0",0,"Pixels"
"87","parzen",0.049625,200,"10","bicubic","false","0","0",0,"Pixels"
"88","bpxnc",0.104,200,"10","bicubic","false","0","0",0,"Pixels"
"89","loglc",0.15113,200,"10","bicubic","false","0","0",0,"Pixels"
"90","knnc",0.0505,200,"10","bicubic","false","0","0",0,"Pixels"
"91","treec",NA,200,"10","bicubic","false","0","0",0,"Pixels"
"92","svc",0.09575,200,"10","bicubic","false","0","0",0.95,"Pixels"
"93","qdc",0.068875,200,"10","bicubic","false","0","0",0.95,"Pixels"
"94","parzen",0.060625,200,"10","bicubic","false","0","0",0.95,"Pixels"
"95","bpxnc",0.25225,200,"10","bicubic","false","0","0",0.95,"Pixels"
"96","loglc",0.17488,200,"10","bicubic","false","0","0",0.95,"Pixels"
"97","knnc",0.0645,200,"10","bicubic","false","0","0",0.95,"Pixels"
"98","treec",NA,200,"10","bicubic","false","0","0",0.95,"Pixels"
"99","svc",0.10463,200,"10","bicubic","false","0","0",0.8,"Pixels"
"100","qdc",0.061125,200,"10","bicubic","false","0","0",0.8,"Pixels"
"101","parzen",0.06275,200,"10","bicubic","false","0","0",0.8,"Pixels"
"102","bpxnc",0.14475,200,"10","bicubic","false","0","0",0.8,"Pixels"
"103","loglc",0.10362,200,"10","bicubic","false","0","0",0.8,"Pixels"
"104","knnc",0.067,200,"10","bicubic","false","0","0",0.8,"Pixels"
"105","treec",NA,200,"10","bicubic","false","0","0",0.8,"Pixels"
"106","svc",0.14663,200,"16","bicubic","false","0","0",0,"Pixels"
"107","qdc",0.76487,200,"16","bicubic","false","0","0",0,"Pixels"
"108","parzen",0.070125,200,"16","bicubic","false","0","0",0,"Pixels"
"109","bpxnc",0.88938,200,"16","bicubic","false","0","0",0,"Pixels"
"110","loglc",0.19687,200,"16","bicubic","false","0","0",0,"Pixels"
"111","knnc",0.0745,200,"16","bicubic","false","0","0",0,"Pixels"
"112","treec",NA,200,"16","bicubic","false","0","0",0,"Pixels"
"113","svc",0.10913,200,"16","bicubic","false","0","0",0.95,"Pixels"
"114","qdc",0.1115,200,"16","bicubic","false","0","0",0.95,"Pixels"
"115","parzen",0.083125,200,"16","bicubic","false","0","0",0.95,"Pixels"
"116","bpxnc",0.24575,200,"16","bicubic","false","0","0",0.95,"Pixels"
