"","classif","dist1","dist2","m","sd","n","ci","method","size"
"64","knnc","minkowski","radial_basis",0.307967333333333,0.0314904809804638,15,0.0675403644030276,"bicubic",6
"65","knnc","polynomial","distance",0.519582666666667,0.0360893275610605,15,0.0774039093288677,"bicubic",6
"66","knnc","polynomial","cosine",0.411456,0.0302672859229706,15,0.0649168719269894,"bicubic",6
"67","knnc","polynomial","radial_basis",0.386438,0.0274293524219168,15,0.0588301099327332,"bicubic",6
"68","knnc","distance","cosine",0.257057333333333,0.0268044616399868,15,0.0574898525022471,"bicubic",6
"69","knnc","distance","radial_basis",0.305401333333333,0.0283530131597701,15,0.0608111651874332,"bicubic",6
"70","knnc","cosine","radial_basis",0.270464,0.0251897651551464,15,0.0540266729765338,"bicubic",6
"71","bpxnc","minkowski","polynomial",0.875642666666667,0.0507405538663766,15,0.108827664470181,"bicubic",6
"72","bpxnc","minkowski","distance",0.857696,0.0676913148891981,15,0.145183431062004,"bicubic",6
"73","bpxnc","minkowski","cosine",0.8415,0.0799897125528384,15,0.171560870653699,"bicubic",6
"74","bpxnc","minkowski","radial_basis",0.884666,0.0487250579124482,15,0.104504855578643,"bicubic",6
"75","bpxnc","polynomial","distance",0.861933333333333,0.0834720133309591,15,0.179029663005939,"bicubic",6
"76","bpxnc","polynomial","cosine",0.877341333333333,0.0361404847913304,15,0.0775136306753412,"bicubic",6
"77","bpxnc","polynomial","radial_basis",0.840296666666667,0.104631521313517,15,0.224412294049819,"bicubic",6
"78","bpxnc","distance","cosine",0.890424666666667,0.0153132602979372,15,0.032843676835636,"bicubic",6
"79","bpxnc","distance","radial_basis",0.873966,0.0522284601944736,15,0.112018906155552,"bicubic",6
"80","bpxnc","cosine","radial_basis",0.842524666666667,0.093525602901533,15,0.200592468082695,"bicubic",6
"81","fisher","minkowski","polynomial",0.279548,0.0201621158895305,15,0.043243437760121,"bicubic",6
"82","fisher","minkowski","distance",0.22002,0.0146210655269326,15,0.031359066705339,"bicubic",6
"83","fisher","minkowski","cosine",0.27266,0.0254419782474331,15,0.0545676162593888,"bicubic",6
"84","fisher","minkowski","radial_basis",0.722472,0.0734553479721816,15,0.157546052487105,"bicubic",6
"85","fisher","polynomial","distance",0.544295333333333,0.0770784076552355,15,0.165316742664851,"bicubic",6
"86","fisher","polynomial","cosine",0.462968666666667,0.0282300455104807,15,0.0605474258101927,"bicubic",6
"87","fisher","polynomial","radial_basis",0.181394,0.0180129516102799,15,0.0386339388238359,"bicubic",6
"88","fisher","distance","cosine",0.16198,0.0122895890899574,15,0.0263585470801205,"bicubic",6
"89","fisher","distance","radial_basis",0.633675333333333,0.09530292919098,15,0.204404453848387,"bicubic",6
"90","fisher","cosine","radial_basis",0.583166,0.103868662935459,15,0.222776125555794,"bicubic",6
