"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"73","parzen",0.38909,10,"10","bilinear","true","0","0",0.95,"Pixels"
"74","bpxnc",0.53515,10,"10","bilinear","true","0","0",0.95,"Pixels"
"75","loglc",0.45848,10,"10","bilinear","true","0","0",0.95,"Pixels"
"76","knnc",0.3802,10,"10","bilinear","true","0","0",0.95,"Pixels"
"77","treec",NA,10,"10","bilinear","true","0","0",0.95,"Pixels"
"78","svc",0.32152,10,"10","bilinear","true","0","0",0.8,"Pixels"
"79","qdc",0.78879,10,"10","bilinear","true","0","0",0.8,"Pixels"
"80","parzen",0.35313,10,"10","bilinear","true","0","0",0.8,"Pixels"
"81","bpxnc",0.54212,10,"10","bilinear","true","0","0",0.8,"Pixels"
"82","loglc",0.36848,10,"10","bilinear","true","0","0",0.8,"Pixels"
"83","knnc",0.35374,10,"10","bilinear","true","0","0",0.8,"Pixels"
"84","treec",NA,10,"10","bilinear","true","0","0",0.8,"Pixels"
"85","svc",0.60586,10,"10","box","false","5","featselp",0,"Pixels"
"86","qdc",0.7696,10,"10","box","false","5","featselp",0,"Pixels"
"87","parzen",0.54818,10,"10","box","false","5","featselp",0,"Pixels"
"88","bpxnc",0.63596,10,"10","box","false","5","featselp",0,"Pixels"
"89","loglc",0.5404,10,"10","box","false","5","featselp",0,"Pixels"
"90","knnc",0.55687,10,"10","box","false","5","featselp",0,"Pixels"
"91","treec",NA,10,"10","box","false","5","featselp",0,"Pixels"
"92","svc",0.57283,10,"10","box","false","5","featselp",0.95,"Pixels"
"93","qdc",0.77566,10,"10","box","false","5","featselp",0.95,"Pixels"
"94","parzen",0.58879,10,"10","box","false","5","featselp",0.95,"Pixels"
"95","bpxnc",0.6496,10,"10","box","false","5","featselp",0.95,"Pixels"
"96","loglc",0.5404,10,"10","box","false","5","featselp",0.95,"Pixels"
"97","knnc",0.55576,10,"10","box","false","5","featselp",0.95,"Pixels"
