"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"73","parzen",0.63394,10,"10","bilinear","false","5","featselp",0,"Features"
"74","bpxnc",0.39889,10,"10","bilinear","false","5","featselp",0,"Features"
"75","loglc",0.37859,10,"10","bilinear","false","5","featselp",0,"Features"
"76","knnc",0.64212,10,"10","bilinear","false","5","featselp",0,"Features"
"77","treec",0.5397,10,"10","bilinear","false","5","featselp",0,"Features"
"78","svc",0.40798,10,"10","bilinear","false","5","featselp",0.95,"Features"
"79","qdc",0.43131,10,"10","bilinear","false","5","featselp",0.95,"Features"
"80","parzen",0.36222,10,"10","bilinear","false","5","featselp",0.95,"Features"
"81","bpxnc",0.43636,10,"10","bilinear","false","5","featselp",0.95,"Features"
"82","loglc",0.37859,10,"10","bilinear","false","5","featselp",0.95,"Features"
"83","knnc",0.39737,10,"10","bilinear","false","5","featselp",0.95,"Features"
"84","treec",0.55172,10,"10","bilinear","false","5","featselp",0.95,"Features"
"85","svc",0.45859,10,"10","bilinear","false","5","featselp",0.8,"Features"
"86","qdc",0.45404,10,"10","bilinear","false","5","featselp",0.8,"Features"
"87","parzen",0.39333,10,"10","bilinear","false","5","featselp",0.8,"Features"
"88","bpxnc",0.45212,10,"10","bilinear","false","5","featselp",0.8,"Features"
"89","loglc",0.4098,10,"10","bilinear","false","5","featselp",0.8,"Features"
"90","knnc",0.41697,10,"10","bilinear","false","5","featselp",0.8,"Features"
"91","treec",0.55485,10,"10","bilinear","false","5","featselp",0.8,"Features"
"92","svc",0.3696,10,"10","bilinear","false","20","featselp",0,"Features"
"93","qdc",0.54232,10,"10","bilinear","false","20","featselp",0,"Features"
"94","parzen",0.52222,10,"10","bilinear","false","20","featselp",0,"Features"
"95","bpxnc",0.23657,10,"10","bilinear","false","20","featselp",0,"Features"
"96","loglc",0.2699,10,"10","bilinear","false","20","featselp",0,"Features"
"97","knnc",0.49848,10,"10","bilinear","false","20","featselp",0,"Features"
"98","treec",0.63141,10,"10","bilinear","false","20","featselp",0,"Features"
"99","svc",0.20111,10,"10","bilinear","false","20","featselp",0.95,"Features"
"100","qdc",0.53384,10,"10","bilinear","false","20","featselp",0.95,"Features"
"101","parzen",0.16788,10,"10","bilinear","false","20","featselp",0.95,"Features"
"102","bpxnc",0.42848,10,"10","bilinear","false","20","featselp",0.95,"Features"
"103","loglc",0.27495,10,"10","bilinear","false","20","featselp",0.95,"Features"
"104","knnc",0.17919,10,"10","bilinear","false","20","featselp",0.95,"Features"
"105","treec",0.45505,10,"10","bilinear","false","20","featselp",0.95,"Features"
"106","svc",0.20646,10,"10","bilinear","false","20","featselp",0.8,"Features"
"107","qdc",0.41333,10,"10","bilinear","false","20","featselp",0.8,"Features"
"108","parzen",0.17677,10,"10","bilinear","false","20","featselp",0.8,"Features"
"109","bpxnc",0.23768,10,"10","bilinear","false","20","featselp",0.8,"Features"
"110","loglc",0.34172,10,"10","bilinear","false","20","featselp",0.8,"Features"
"111","knnc",0.20434,10,"10","bilinear","false","20","featselp",0.8,"Features"
"112","treec",0.45414,10,"10","bilinear","false","20","featselp",0.8,"Features"
"113","svc",0.37,10,"10","bilinear","false","50","featselp",0,"Features"
"114","qdc",0.50788,10,"10","bilinear","false","50","featselp",0,"Features"
"115","parzen",0.57444,10,"10","bilinear","false","50","featselp",0,"Features"
"116","bpxnc",0.34465,10,"10","bilinear","false","50","featselp",0,"Features"
"117","loglc",0.21798,10,"10","bilinear","false","50","featselp",0,"Features"
"118","knnc",0.45869,10,"10","bilinear","false","50","featselp",0,"Features"
"119","treec",0.59192,10,"10","bilinear","false","50","featselp",0,"Features"
"120","svc",0.15596,10,"10","bilinear","false","50","featselp",0.95,"Features"
"121","qdc",0.66525,10,"10","bilinear","false","50","featselp",0.95,"Features"
"122","parzen",0.12677,10,"10","bilinear","false","50","featselp",0.95,"Features"
"123","bpxnc",0.30253,10,"10","bilinear","false","50","featselp",0.95,"Features"
"124","loglc",0.19273,10,"10","bilinear","false","50","featselp",0.95,"Features"
"125","knnc",0.13899,10,"10","bilinear","false","50","featselp",0.95,"Features"
"126","treec",0.54141,10,"10","bilinear","false","50","featselp",0.95,"Features"
"127","svc",0.18384,10,"10","bilinear","false","50","featselp",0.8,"Features"
"128","qdc",0.43,10,"10","bilinear","false","50","featselp",0.8,"Features"
"129","parzen",0.13293,10,"10","bilinear","false","50","featselp",0.8,"Features"
"130","bpxnc",0.25414,10,"10","bilinear","false","50","featselp",0.8,"Features"
"131","loglc",0.22141,10,"10","bilinear","false","50","featselp",0.8,"Features"
"132","knnc",0.1497,10,"10","bilinear","false","50","featselp",0.8,"Features"
"133","treec",0.54141,10,"10","bilinear","false","50","featselp",0.8,"Features"
