 , nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0 pcadimension:0, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0.95 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0.9 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0.85 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0.8 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:75 featSelect:featselp pca:0.7 pcadimension:1, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0 pcadimension:0, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0.95 pcadimension:3, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0.9 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0.85 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0.8 pcadimension:2, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:100 featSelect:featselp pca:0.7 pcadimension:1
svc,0.043125,0.80312,0.80312,0.80312,0.80312,0.9,0.04225,0.80225,0.7215,0.7215,0.7215,0.9
qdc,0.04775,0.53087,0.53087,0.53087,0.53087,0.71088,0.0515,0.45863,0.541,0.541,0.541,0.71838
parzen,0.23163,0.5235,0.5235,0.5235,0.5235,0.71488,0.21175,0.45663,0.52587,0.52587,0.52587,0.72088
bpxnc,0.036875,0.6025,0.67475,0.52,0.51812,0.71825,0.044625,0.44275,0.51513,0.56888,0.52613,0.723
loglc,0.0365,0.56038,0.56038,0.56038,0.56038,0.72438,0.02525,0.49913,0.5645,0.5645,0.5645,0.73338
knnc,0.21163,0.53663,0.53663,0.53663,0.53663,0.71938,0.21213,0.48213,0.539,0.539,0.539,0.72
fisherc,0.028875,0.60513,0.60513,0.60513,0.60513,0.74813,0.02575,0.55212,0.60725,0.60725,0.60725,0.753
