 , nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:16 resizeMethod:bilinear thresholding:false nrFeatures:0 featSelect:none pca:0
svc,0.38113,0.29663,0.326,0.11675,0.075,0.1005,0.046375,0.033625,0.047,0.055375
qdc,0.44763,0.45838,0.27475,0.097,0.074,0.08825,0.05375,0.0465,0.045,0.86175
parzen,0.27213,0.26188,0.26888,0.49775,0.063875,0.08025,0.25475,0.03975,0.042875,0.9
bpxnc,0.28025,0.26063,0.27387,0.079,0.15313,0.087625,0.0425,0.059375,0.070375,0.036875
loglc,0.27287,0.27287,0.30025,0.06275,0.078125,0.097,0.0525,0.0535,0.050625,0.0265
knnc,0.256,0.2595,0.26413,0.38,0.065375,0.0875,0.25775,0.038625,0.04825,0.18338
treec,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
