 , nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:0 featSelect:none pca:0
svc,0.74515,0.39737,0.44333,0.35727,0.16677,0.20071,0.31697,0.11081,0.12343,0.25576
qdc,0.62192,0.62586,0.40333,0.47111,0.46313,0.40535,0.48919,0.57879,0.37273,0.9
parzen,0.4498,0.32626,0.33424,0.68374,0.13808,0.18414,0.53505,0.10687,0.10657,0.9
bpxnc,0.46071,0.41343,0.3904,0.26152,0.25727,0.24636,0.18758,0.27515,0.21475,0.34505
loglc,0.35364,0.35364,0.36232,0.18182,0.18879,0.20505,0.19283,0.15162,0.13717,0.086869
knnc,0.34556,0.33606,0.35172,0.61616,0.15303,0.20222,0.52889,0.12152,0.12364,0.45192
treec,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
