 , nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:5 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:20 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0.95, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0.8, nrTrObjectsPerClass:200 resizeSize:10 resizeMethod:bicubic thresholding:false nrFeatures:0 featSelect:none pca:0
svc,0.49438,0.33875,0.3995,0.1775,0.098375,0.1215,0.08775,0.049125,0.050375,0.060125
qdc,0.2525,0.2525,0.29713,0.090125,0.08675,0.10513,0.044875,0.044,0.046,0.832
parzen,0.42313,0.23113,0.26213,0.3175,0.089,0.10025,0.19525,0.042625,0.04725,0.9
bpxnc,0.31363,0.32525,0.34987,0.094875,0.10325,0.11263,0.05375,0.063,0.06775,0.133
loglc,0.26938,0.26938,0.32125,0.082,0.09775,0.11725,0.064,0.05975,0.062375,0.040125
knnc,0.39675,0.22475,0.26163,0.31425,0.094125,0.1045,0.204,0.044375,0.049875,0.216
treec,0.34413,0.36637,0.39313,0.367,0.31325,0.28063,0.40775,0.3525,0.30937,0.45275
